Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
0,172.16.0.5-192.168.50.1-60675-80-6,172.16.0.5,60675,192.168.50.1,80,6,2018-12-01 09:17:11.183810,5220876,12,9,1928.0,4290.0,509.0,0.0,160.66666666666669,237.8782474419648,1073.0,0.0,476.66666666666674,565.2572423242358,1190.9878725332685,4.022313496815477,261043.8,1117421.478042834,5004919.0,2.0,215957.0,19632.454545454544,57799.7969033865,192825.0,2.0,5220754.0,652594.25,1759944.2880113118,5005096.0,3.0,0,0,0,0,400,304,2.2984648553231297,1.7238486414923473,0.0,1073.0,282.6363636363637,424.0285868007515,179800.24242424246,0,0,0,0,1,0,0,0,0.0,296.09523809523813,160.66666666666666,476.66666666666674,400,0,0,0,0,0,0,12,1928,9,4290,65535,243,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.174.165.72/c.php,1,DrDoS_NTP
7,172.16.0.5-192.168.50.1-60676-80-6,172.16.0.5,60676,192.168.50.1,80,6,2018-12-01 09:17:11.205636,12644252,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536112377386974,2107375.333333333,5161910.000902947,12644080.0,1.0,12644252.0,3161063.0,6322011.3338176925,12644080.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,176,80,0.39543659838478384,0.15817463935391354,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,176,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
12858,192.168.50.7-65.55.163.78-50458-443-6,65.55.163.78,443,192.168.50.7,50458,6,2018-12-01 09:17:12.634569,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666665,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6666666665,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
10191,192.168.50.7-65.55.163.78-50465-443-6,65.55.163.78,443,192.168.50.7,50465,6,2018-12-01 09:17:13.458370,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6666666665,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
239,192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,2018-12-01 09:17:13.470913,114329232,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45482681104688955,2241749.6470588245,4083247.485040777,9950741.0,1.0,114329232.0,2241749.6470588245,4083247.485040777,9950741.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4548268110468896,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,52,0,0,0,-1,-1,0,0,7.416666666666668,2.4664414311581235,15.0,6.0,9527428.0,248706.681286136,9950741.0,9092248.0,0,0,BENIGN
64,172.217.3.110-192.168.50.6-80-56085-6,192.168.50.6,56085,172.217.3.110,80,6,2018-12-01 09:17:13.931484,34847273,9,8,8.0,0.0,1.0,0.0,0.8888888888888888,0.3333333333333333,0.0,0.0,0.0,0.0,0.22957320074945317,0.487843051592588,2177954.5625,4053643.3624163987,10014717.0,2.0,34847273.0,4355909.125,4969564.113724791,10047743.0,2.0,30112039.0,4301719.857142856,5365186.353412416,10047681.0,2.0,0,0,0,0,180,256,0.2582698508431348,0.2295732007494532,0.0,1.0,0.5000000000000001,0.5144957554275266,0.2647058823529412,0,0,0,0,0,1,0,0,0.0,0.5294117647058824,0.8888888888888888,0.0,180,0,0,0,0,0,0,9,8,8,0,258,254,7,20,33004.0,32.90896534380867,33030.0,32967.0,10004347.0,8980.692846323162,10014717.0,9999149.0,0,0,BENIGN
255,192.168.50.6-23.194.142.213-56131-443-6,192.168.50.6,56131,23.194.142.213,443,6,2018-12-01 09:17:14.072090,119842965,29,30,5844.0,876.0,2910.0,0.0,201.5172413793103,641.5538403355256,438.0,0.0,29.2,111.12416168567856,56.07337902562741,0.49231091704047875,2066258.0172413788,4067620.669708183,10011533.0,1.0,119822230.0,4279365.357142857,5027727.725086833,10032312.0,2.0,119822203.0,4131800.103448277,5005460.231834212,10032273.0,1.0,0,0,0,0,580,888,0.2419833321046421,0.2503275849358366,0.0,2910.0,112.01666666666668,457.2031589250817,209034.7285310734,0,0,0,0,0,1,0,0,1.0,113.91525423728814,201.5172413793104,29.2,580,0,0,0,0,0,0,29,5844,30,876,251,579,26,20,25060.833333333336,14940.53578103016,72503.0,20578.0,9960124.833333332,155305.40472760776,10011533.0,9469830.0,0,0,BENIGN
69,192.168.50.6-72.21.91.29-56123-80-6,192.168.50.6,56123,72.21.91.29,80,6,2018-12-01 09:17:14.181504,35613140,9,8,8.0,0.0,1.0,0.0,0.8888888888888888,0.3333333333333333,0.0,0.0,0.0,0.0,0.22463618765433208,0.47735189876545564,2225821.25,4091558.704552183,10004237.0,2.0,35613140.0,4451642.5,4983238.299918495,10032178.0,2.0,30096571.0,4299510.142857143,5362428.177394344,10032289.0,2.0,0,0,0,0,180,256,0.2527157111111236,0.22463618765433208,0.0,1.0,0.5000000000000001,0.5144957554275266,0.2647058823529412,0,0,0,0,0,1,0,0,0.0,0.5294117647058824,0.8888888888888888,0.0,180,0,0,0,0,0,0,9,8,8,0,256,290,7,20,27931.0,13.527749258468685,27944.0,27917.0,10004212.666666666,38.7341365378568,10004237.0,10004168.0,0,0,BENIGN
68,192.168.50.6-8.43.72.98-56133-443-6,192.168.50.6,56133,8.43.72.98,443,6,2018-12-01 09:17:14.244036,35550443,11,8,114.0,0.0,53.0,0.0,10.363636363636363,21.082090632917442,0.0,0.0,0.0,0.0,3.2067110949925435,0.5344518491654239,1975024.611111111,3906306.9349965337,10014706.0,1.0,35550443.0,3555044.3,4779373.288130523,10047799.0,1.0,30127571.0,4303938.714285715,5367954.092081815,10047756.0,2.0,0,0,0,0,220,256,0.3094194916220875,0.2250323575433364,0.0,53.0,5.75,16.166485801122473,261.3552631578947,0,0,0,0,0,1,0,0,0.0,6.052631578947367,10.363636363636363,0.0,220,0,0,0,0,0,0,11,114,8,0,256,17358,9,20,33102.0,37.21110945224001,33135.0,33052.0,8854508.0,2309859.0375153483,10014706.0,5389737.0,0,0,BENIGN
5,172.16.0.5-192.168.50.1-53948-80-6,172.16.0.5,53948,192.168.50.1,80,6,2018-12-01 09:17:16.230610,5008872,8,7,754.0,2146.0,377.0,0.0,94.25,174.51708880712596,1073.0,0.0,306.57142857142856,523.570389136888,578.9726708927678,2.994686228755696,357776.5714285714,1337536.1018772088,5004906.0,2.0,3966.0,566.5714285714286,1130.9332218928544,3079.0,2.0,5008774.0,834795.6666666667,2042987.2161089669,5005025.0,2.0,0,0,0,0,272,240,1.5971659886697045,1.3975202400859914,0.0,1073.0,181.25,370.70122740557525,137419.40000000002,0,0,0,0,1,0,0,0,0.0,193.3333333333333,94.25,306.57142857142856,272,0,0,0,0,0,0,8,754,7,2146,65535,235,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.174.165.72/c.php,1,DrDoS_NTP
